64,32,0.01,0.001,0.6,0.0001,0.1,0.01,0.01,bail,5,0.8980716253443526,Niftysage
256,16,0.01,0.001,0.5,0.01,0.01,0.0001,0.001,income,2,0.8494333513221802,Niftysage
128,64,0.001,0.0001,0.4,0.001,0.001,0.0001,0.001,nba,2,0.784037558685446,Niftysage
32,64,0.01,0.01,0.7,0.0001,0.0001,0.1,0.01,pokec_z,2,0.6381201044386423,Niftysage
64,4,0.01,0.01,0.7,0.001,0.01,0.1,0.01,bail,2,0.8978597160415343,Niftysage
64,128,0.01,0.01,0.3,0.01,0.01,0.1,0.01,income,3,0.8448461953588775,Niftysage
32,4,0.01,0.01,0.7,0.01,0.01,0.0001,0.0001,pokec_n,3,0.6237879767291532,Niftysage
4,16,0.01,1e-05,0.6,0.001,0.001,0.01,0.001,nba,3,0.755868544600939,Niftysage
256,32,0.01,1e-06,0.6,0.0001,0.01,0.0001,0.0001,pokec_z,3,0.6694516971279373,Niftysage
4,32,0.01,0.001,0.5,0.1,0.1,0.0001,0.01,bail,3,0.8720067810976901,Niftysage
128,128,0.01,1e-05,0.6,0.01,0.1,0.001,0.0001,pokec_n,4,0.6308985132514544,Niftysage
32,64,0.01,0.0001,0.7,0.0001,0.0001,0.0001,0.01,pokec_z,4,0.6381201044386423,Niftysage
256,128,0.01,0.001,0.5,0.0001,0.0001,0.1,0.0001,nba,4,0.7605633802816901,Niftysage
128,32,0.01,0.0001,0.7,0.0001,0.0001,0.0001,0.01,pokec_n,5,0.6328377504848093,Niftysage
16,32,0.001,1e-06,0.4,0.0001,0.01,0.01,0.001,nba,5,0.7464788732394366,Niftysage
32,4,0.01,0.001,0.6,0.0001,0.1,0.001,0.0001,pokec_z,5,0.6407310704960836,Niftysage
